// Aufnahmearten, mit alten Aufnahmearten (zu Kompatibilitätszwecken), mit Gültigkeitsdatum bis wann
// Header: Key,Description,ValidTo

UNDEFINED_AT;;
CONTINUOUS_AT;Daueraufnahme;
HOLIDAY_AT;Urlaub von der Pflege;
TRANSITIONAL_AT;Übergangspflege;
COVID19_RESPITE_AT;COVID-19 Entlastungspflege;
GERIATRIC_REMOBILIZATION_AT;Geriatrische Remobilisation;
CARE_TRANSITION_AT;Überleitungspflege;
TRIAL_AT;Probe;01.08.2014;
CRISIS_INTERVENTION_AT;Krisenintervention;30.11.2019;


           
